tekst,score,woorden,unieke_woorden,gemiddelde_woordscore,gemiddelde_woordlengte,gemiddelde_zinslengte,moeilijke_woorden_percentage
Alle input_txt bestanden samen,4.8,220,121,3.2,4.1,8.1,3.6
Nora gaat naar de huisarts.txt,4.8,220,121,3.2,4.1,8.1,3.6
